merged_taxon,HR04_01,HR04_02,HR04_03,HR04_04,HR07_01,HR07_02,HR07_03,HR07_04,IS01_01,IS01_02,IS01_03,IS01_04,IS02_01,IS02_02,IS02_03,IS02_04,KH01_01,KH01_02,KH01_03,KH01_04,KH02_01,KH02_02,KH02_03,KH02_04,KH03_01,KH03_02,KH03_03,KH03_04,KH05_01,KH05_02,KH05_03,KH07_01,KH07_02,KH07_04,KH08_04,KH09_01,KH09_02,KH09_03,KH09_04,KH10_01,KH10_02,KH10_03,KH10_04,KV01_01,KV01_02,KV01_03,KV01_04,NC01_01,NC01_02,NC01_03,NC01_04,NS01_01,NS01_02,NS01_03,NS01_04,NS02_02,NS02_03,NS02_04,NS04_01,NS04_02,NS04_03,NS04_04,NS06_01,NS06_02,NS06_03,NS06_04,NS10_01,NS10_02,NS10_03,NS10_04,NS12_01,NS12_02,NS12_03,NS12_04,NS38_01,NS38_02,NS38_03,NS38_04,NS43_01,NS43_02,NS43_03,NS43_04,NS45_01,NS45_02,NS45_03,NS45_04,NS47_04
Globothalamea;Bolivinellina_pseudopunctata,0,0,0,790,0,0,0,110,0,0,0,530,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,5,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,43,0,0,0,2,0,0,0,0,0,0,906,0,0,0,192,0,0,0,935,0,0,0,10,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,4,9
Globothalamea;Cassidulina_sp,0,0,0,22,0,0,0,2,1,0,0,4,0,0,0,0,1,0,2859,15,3,0,0,0,0,0,0,2,16,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,7,0,0,0,1,0,0,0,9,0,0,0,21,0,0,0,10,0,0,46,48,0,0,79,2,0,0,105,16,13
Globothalamea;Cibicides_fletcheri,562,9384,786,289,0,2120,2001,41,0,2380,74,0,6,22,409,54,2373,0,0,1973,549,53,0,0,22,11,15,0,12179,1,0,14,0,0,0,0,0,0,0,0,0,0,7,1708,0,833,0,19,14,9,0,0,0,0,0,0,0,82,0,0,0,11,0,0,0,119,0,0,0,376,0,0,0,1392,0,0,0,12,5,0,0,0,0,0,0,0,150
Globothalamea;Cibicidoides_lobatulus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9626,197,165,94,0,0,8,9,1137,13,0,84,31,0,0,0,30,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,832,27,0,0,88,0,0
Globothalamea;Cibicidoides_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,82,0,0,0,0,0,1076,26,0,0,0,20,0,0,0,36,0,0,0,0,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,5,0,0,126,0,0
Globothalamea;Cribrostomoides_crassimargo,11847,401,77,7,8610,144,169,3,0,2606,30,0,0,9639,29,0,25,0,119,17,1,2,0,2,15,2,0,0,267,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,55,0,5,11,0,2,1143,45110,399,0,0,0,22,0,14,34,19,0,0,0,0,0,0,244,8,0,0,259,0,5,5,56,4,1
Globothalamea;Cribrostomoides_sp,89,92,12,0,120,47,55,3,0,45,5,0,0,378,464,3,0,0,1,13,1,0,30,0,0,0,1,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,8,0,9,1217,0,0,0,0,26,0,0,0,0,0,0,0,0,0,64,17,0,0,0,0,0,0,0,8,0,0,0,2,0,0,32,0,0,0,58,0,0,0,113,0,0
Globothalamea;Eggerella_sp,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1318,370,0,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globothalamea;Elphidium_excavatum,0,10,4,398,0,0,0,60,0,2,700,244,0,0,1,148,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,26,0,0,1,1,0,0,370,112,0,0,9,0,0,20,26,0,150,622,8,0,19,43,102,0,1,2,124,0,1,166,19,0,0,157,6,0,0,290,9,9
Globothalamea;Epistominella_sp,0,0,0,462,0,0,0,91,0,0,0,454,0,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,25,11,0,0,0,0,20,0,0,0,6,2,0,0,3,1,0,539,0,0,0,135,0,0,0,96,0,0,0,49,0,0,0,270,0,0,0,7,0,0,0,1,0,0,0,3,0
Globothalamea;Globobulimina_auriculata,0,288,4122,171,0,0,0,15,0,78,49,69,1,200,29,2,0,0,4,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,27,1,1,50,60,19,0,2,0,23,5,35,0,0,0,0,2,1,4,33830,8875,71,311,38,7207,141,4,36,13,0,0,21905,4291,24,0,4928,1047,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Globothalamea;Melonis_barleeanum,0,15,0,4,0,0,0,0,0,0,0,5,0,0,0,63,0,0,0,1264,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,61,0,0,107,169,0,0,0,82,0,0,0,508,0,0,73,0,0,0,25,0,0,0,0,0,0,0,549,0,0,0,226,0,14,311,331,0,1,9799,196,0,0,3243,195,102
Globothalamea;Nonionellina_labradorica,0,154,2089,3413,73,148,0,1732,4249,2311,720,2279,62,84,4,226,0,0,0,586,0,0,0,6,0,0,0,4,0,0,0,0,0,14,12,0,0,0,9,6,0,0,0,38845,0,52,4590,20,1,9,1,0,0,0,11,0,103,9857,0,0,35,1364,0,0,0,3141,0,0,0,199,0,0,2,787,0,0,0,14,5,6,0,1,0,2,0,5,0
Globothalamea;Oridorsalis_sp,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,89,150,0,0,0,0,1278,458,0,0,0,327,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0
Globothalamea;Pullenia_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,330,1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Globothalamea;Reophax_dentaliniformis,3124,8660,4787,4728,293,22988,23045,4587,0,2910,793,1398,11,564,3614,408,4,3,273,520,0,0,0,110,0,0,0,123,0,0,0,0,0,253,291,0,0,0,707,4,0,36,1840,5623,0,4723,4825,35,12,5,963,0,0,0,1618,0,3,3026,0,0,0,4761,0,0,18,1389,0,0,0,2606,0,0,10,3483,0,1,58,344,8,0,91,1541,0,0,0,2405,1496
Globothalamea;Reophax_helenae,19,10,10,38,0,0,0,34,0,0,0,183,0,193,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,1,1,5,0,0,2,0,0,24,0,0,1,318,0,0,0,0,0,1,449,64,461,16,89,33,107,43,1280,2,719,1475,774,0,1563,7305,28,0,546,0,4,0,0,752,10,0,0,122,0,0,0,263,14,59
Globothalamea;Reophax_sp,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,393,0,0,0,5612,0,0,0,4,0,0,0,18,0,0,0,0,0,19,37,3,0,0,20,0,0,3,47,0,0,0,1606,0,0,0,7,0,8,71,1069,97,0,118,16,6,14,394,0,608,814,13,0,741,841,5695,0,181,353,1152,0,0,449,85,0,0,30,345,0,0,49,264,91
Globothalamea;Robertina_arctica,44,17,1,35,38,5,1,0,0,5460,921,54,0,2007,5,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,256,0,0,39,1021,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Globothalamea;Robertina_sp,0,0,0,0,0,0,0,148,0,0,0,40,0,0,0,0,44,72,5,189,0,0,0,0,0,1,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,141,0,0,0,236,0,0,0,175,0,0,0,37,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0
Globothalamea;Rosalina_sp,0,1,110,0,0,0,0,0,0,0,0,0,100,40,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2590,49,0,121,3,2,4,0,74215,4,0,81,10,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Globothalamea;Rupertina_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,8600,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1673,0,0,0,74,13,0,0,1775,0,315
Globothalamea;Spiroplectammina_sp,0,0,21,831,0,4,0,277,36,0,0,79,13,0,1,1,9,0,0,5,15,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,13,76,1555,0,0,14,1,0,0,1,0,0,0,2,0,0,40,0,0,0,20,0,0,0,95,0,0,0,30,0,0,0,100,0,0,0,2,0,0,0,0,0,0,0,2,0
Globothalamea;Stainforthia_sp,76,0,3,11376,0,1,0,7492,8801,12,1,20020,422,0,52,9808,3168,108,747,3574,0,9,3,8,0,9,6,93,8,2,406,0,4,8,30,0,0,0,7,33,4,0,41,7,38,32,3033,0,0,0,29,0,0,0,675,0,0,1839,0,1,0,401,0,579,952,2494,0,1,24,786,0,0,3,2261,0,0,0,435,0,5,0,189,0,1,13,249,528
Globothalamea;Stetsonia_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,131,0,0,3,10,0,0,12,0,0,274,562,0,0,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12
Monothalamea;Bathyallogromia_kalaallita,0,566,26,21,0,160,248,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,163,0,0,0,0,0,0,0,0,0,0,66,32,6,3,0,9,14,0,26775,6780,7386,139,1,3,349,0,0,3,0,0,0,0,0,0,0,0,8,0,0
Monothalamea;Cylindrogullmia_alba,445,1120,46881,8,0,0,0,417,0,34,52,17,0,0,0,31,0,0,13,84,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,1,0,0,17,191,0,0,14535,16,0,0,0,0,0,0,0,113,0,0,40,0,0,0,2,0,0,0,19,0,0,0,1,0,0,0,480,0,0,147,1,0,1,148,1,0,1,156,5,0
Monothalamea;Gloiogullmia_sp,0,0,4,5,4,1,4,0,0,109,3,7,0,21,347,1,6,0,12,4,0,0,3,0,0,0,949,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,2,17,1,0,0,0,21,0,0,0,152,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,0,0,255,53,0,0,184,52,22
Monothalamea;Hippocrepinella_sp,247,184,117,466,188,38,84,1031,11940,1714,159,300,0,1318,34,2,26,53,9,36,0,1,1131,1043,0,2,10910,1536,0,1,2,0,0,471,1180,0,8,0,1337,0,2,6,416,0,0,28,398,1,0,25,28,0,0,897,868,0,1,1147,71,37,1159,815,3,5121,7192,3733,0,5993,13585,1494,0,904,380,597,0,1,2741,1715,2,6,2769,4289,6,7,1695,1246,296
Monothalamea;Limaxia_alba,22582,19,6,39,21552,27,28,20,221,0,34,22,0,192,61,2,17,2,0,1,0,1,6,3,50,0,2,2,98,12,394,0,0,6,38,2,13,0,0,4,2,8,4,8,57,2,65,0,4,90,0,0,32,1165,17,577,426,207,138,138,312,387,71,512,1373,265,0,2047,0,142,80012,6278,60961,47,0,0,562,30,0,5,407,29,0,0,835,18,0
Monothalamea;Limaxia_sp,72,86,15,19,34,29,33,20,400,57,8,9,0,290,16,1,0,1,13,34,0,0,5,9,1,0,338,0,95,0,584,0,0,0,4,0,0,0,0,3,15,4,5,0,0,15,24,0,0,151,1,0,0,0,160,0,0,49,0,7,5,41,0,0,2,0,0,0,1387,61,0,67,0,16,0,0,316,12,0,0,275,12,0,0,29,37,23
Monothalamea;Micrometula_sp,7856,53413,11696,3029,1089,51506,51385,3869,0,7027,71878,8229,3125,1528,2147,91,3363,0,20,733,105,3,0,19,0,7,7,76,181,0,0,1,0,44,23,0,0,0,18,104,0,0,400,371,4,13500,287,64,169,275,108,2,0,0,9,0,0,2559,2,0,33,792,0,448,273,12974,0,76,3,9,0,0,1,1237,0,0,15,2,0,0,26,0,0,0,0,7,17
Monothalamea;Nemogullmia_sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,205,0,0,3,229,0,0,0,1,0,0,0,24,0,0,0,0,0,0,0,0,0,0,720,0,0,126,0,0,0,0,2,0,0,28,26,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,729,289,0,0,3203,2348,0,0,52,22,0
Monothalamea;Nujappikia_idaliae,39,0,0,0,28,0,0,0,0,650,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,24,201,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monothalamea;Pelosina_sp,17,62,139,18,10,0,0,91,0,9,2,42,0,17,4,0,0,0,0,4,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,367,2,2,0,16,0,0,0,0,8,0,0,3,0,0,0,62,0,40,82,56,0,0,0,20,0,0,43,27,0,0,0,1,0,0,0,0,0,0,29,12,0
Monothalamea;Psammophaga_magnetica,0,5,13,21,0,19,40,22,0,0,0,281,0,0,0,156,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,0,33,0,0,950,0,0,3,28,0,0,74,59,0,0,6,67,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Monothalamea;Psammophaga_sp,1,31,86,9016,0,33,52,1821,0,0,0,20753,42708,3,0,7979,8,0,0,1710,0,0,0,17,0,0,0,5,0,0,0,0,0,8,58,0,0,0,13,0,68,109,33,175,0,0,1629,17,3,1,12,0,0,1,405,0,8,10484,2,0,69,2233,0,1800,3556,739,0,138,56,2874,0,1,14,6287,0,0,16,18,0,0,0,19,0,0,0,96,100
Monothalamea;Psammosphaera_like_sp,6,32,11,27,0,0,0,36,0,20,3,13,970,5,4,4,0,0,0,14,0,0,0,17,0,0,0,2,73,0,0,0,0,0,0,0,0,0,1,0,0,0,3,11,0,177,3,0,0,0,2,0,0,0,6,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,5,1,0,0,0,1
Monothalamea;Shepheardellidae_X_sp,0,0,4,24,0,0,0,6,0,0,0,32,0,64,14,76,0,0,3,59,0,0,513,0,0,0,1,71,0,2,20,0,0,24,45,0,0,0,114,6,3,14,73,0,0,4,114,0,0,25,10,0,0,143,21,0,0,116,0,0,0,0,0,630,0,0,0,0,0,220,0,0,5,0,0,0,122,419,0,0,0,808,0,0,4,148,16
Monothalamea;Toxisarcon_sp,17,8,5,34,6,4,17,232,248,1899,17,0,0,758,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9291,0,1,0,0,26079,22408,497,0,58,43,4,0,220,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tubothalamea;Pyrgo_elongata,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,1,2642,0,0,0,115,0,0,0,0,4,7,2,0,9,2,0,0,0,77,8,0,0,66,7,0,1,16,0,463
